"ng-binding","ng-binding 2","ng-binding href","ng-binding src","ng-scope src","ng-scope","ng-binding 3","ng-binding 4","ng-binding 5","ng-binding 6","ng-scope src 2","ng-binding 7","ng-binding 8","ng-binding 9","ng-binding 10","ng-scope src 3","ng-binding 11","ng-scope src 4","ng-scope src 5","ng-scope src 6","ng-scope src 7"
"1","雜種豬(肉色)","https://pigfarmmix.net/#/pig/1","https://pigfarmmix.net/png_h/e679058d38e547de2ee12d64e27f99dd674d25771a802276240c180e1dd65faf20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","0","0 小時","58 分鐘","3 小時","https://pigfarmmix.net/png_h/a6752c7f9968b9961d0e91ae2083fce3f62ee7ac7f4c8d0a45c0a32bae70c8f620251013.png","肉色 [圖鑑1 頁1#1]","≤ 123.9 kg","≥ 160.0 kg","500 pt","","","","","",""
"2","雜種豬(灰色)","https://pigfarmmix.net/#/pig/2","https://pigfarmmix.net/png_h/6545dc63fd08cf646bc09e93105d55b840df5c24a9877cd396261c3d5f8e9fd820251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","0","0 小時","58 分鐘","3 小時","https://pigfarmmix.net/png_h/97cbaccfa405480612d3bf7e152c0f7f8d8507099b5839dfa19df61f5181feec20251013.png","灰色 [圖鑑2 頁1#1]","≤ 123.9 kg","≥ 160.0 kg","500 pt","","","","","",""
"3","雜種豬(米色)","https://pigfarmmix.net/#/pig/3","https://pigfarmmix.net/png_h/c026cf71c58bda4b986da61d69affce886b21e2d1d6da414b2d0d0aabbb01aec20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","0","0 小時","58 分鐘","3 小時","https://pigfarmmix.net/png_h/9fc1edfa8a25ba821f32de73ee24d6907de827874d33d8400a273fbe122ac58920251013.png","米色 [圖鑑3 頁1#1]","≤ 123.9 kg","≥ 160.0 kg","500 pt","","","","","",""
"4","雜種豬(粉紅)","https://pigfarmmix.net/#/pig/4","https://pigfarmmix.net/png_h/a435a75a7ffbe499aad4991e83c14ae218e6aa04f8c2fe6507c963584eab6b1a20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","0","0 小時","58 分鐘","3 小時","https://pigfarmmix.net/png_h/46827eaf3344f3d5d59295ae2c237b7ef05252fa01f7f38bb1e57ac062d9c15520251013.png","粉紅 [圖鑑4 頁1#1]","≤ 123.9 kg","≥ 160.0 kg","500 pt","","","","","",""
"5","雜種豬(白色)","https://pigfarmmix.net/#/pig/5","https://pigfarmmix.net/png_h/352a33be20afd0561a99a80bb690e0ddd45a8dd95f93ca7eeb14ec02fa2fe61f20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","0","0 小時","58 分鐘","3 小時","https://pigfarmmix.net/png_h/a68119aa8a6ceba07cf7cd15c2c4ea3a6f2a3313e58a78a2ec1216d15999fb8f20251013.png","白色 [圖鑑5 頁1#1]","≤ 123.9 kg","≥ 160.0 kg","500 pt","","","","","",""
"6","蘭德萊斯豬","https://pigfarmmix.net/#/pig/6","https://pigfarmmix.net/png_h/00b18839fe6ca01a53d78df60ed5c7b1370dd7cbcd4d9a0c72bdd90799ce801d20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","1","60 分鐘","1 小時","3 小時","https://pigfarmmix.net/png_h/46827eaf3344f3d5d59295ae2c237b7ef05252fa01f7f38bb1e57ac062d9c15520251013.png","粉紅 [圖鑑4 頁1#2]","≤ 124.4 kg","≥ 153.2 kg","1000 pt","https://pigfarmmix.net/png_h/a8c431ef04e348d579dbea87991cab0dadc22df86edf1920a8c8e76335bd820c20251013.png","3.48%","","","",""
"7","伊比利亞豬/(橡子餵食)","https://pigfarmmix.net/#/pig/7","https://pigfarmmix.net/png_h/0e7b7f9646d41c7ddb5128ea3341b19a578c4b94018813d6dce4f6ce54b0054d20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","10","120 分鐘","2 小時","40 小時","https://pigfarmmix.net/png_h/97cbaccfa405480612d3bf7e152c0f7f8d8507099b5839dfa19df61f5181feec20251013.png","灰色 [圖鑑2 頁1#2]","≤ 175.0 kg","≥ 200.0 kg","10000 pt","https://pigfarmmix.net/png_h/0aeaee22846aee8ef0429da1face05360c1fdfd8de57e07bebb2741e67f15e6220251013.png","0.30%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png"
"8","伊比利亞豬/(放牧餵食)","https://pigfarmmix.net/#/pig/8","https://pigfarmmix.net/png_h/590daf86e2f132dfc50e6e3ffdb9f69dbff0b98f4fa49a02e94619df42ae61c320251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","8","180 分鐘","3 小時","40 小時","https://pigfarmmix.net/png_h/97cbaccfa405480612d3bf7e152c0f7f8d8507099b5839dfa19df61f5181feec20251013.png","灰色 [圖鑑2 頁1#3]","≤ 134.2 kg","≥ 162.4 kg","8000 pt","","1.15%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png",""
"9","伊比利亞豬/(混合餵食)","https://pigfarmmix.net/#/pig/9","https://pigfarmmix.net/png_h/474833ddc41fa5615eac2562e4e0afd01751578a883b0b2762cc0a805e1400bf20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","8","120 分鐘","2 小時","24 小時","https://pigfarmmix.net/png_h/97cbaccfa405480612d3bf7e152c0f7f8d8507099b5839dfa19df61f5181feec20251013.png","灰色 [圖鑑2 頁1#4]","≤ 139.6 kg","≥ 165.3 kg","6000 pt","https://pigfarmmix.net/png_h/1083a39a293067c36e6e25b013d3a87904536ffef5349212d9a97fae8ca2b74420251013.png","1.15%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png",""
"10","杜洛克豬","https://pigfarmmix.net/#/pig/10","https://pigfarmmix.net/png_h/4b2dbf65bb939677e077915c1e3bb73e2401a2dfe09c68a0a57715ca02c4e82720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","3","0 小時","58 分鐘","4 小時","https://pigfarmmix.net/png_h/9fc1edfa8a25ba821f32de73ee24d6907de827874d33d8400a273fbe122ac58920251013.png","米色 [圖鑑3 頁1#2]","≤ 125.7 kg","≥ 160.6 kg","1500 pt","","3.48%","","","",""
